,DEE,DEG,DEF,AZ-ABS,AZ-MAS,AZ-AST,AZ-XAC,AZ-QUS,AT34,BABRC,FRE2,ITF6,ITF1,ITH4,NL23,NL13,PL61,PL81,PL43,PL82,PL84,PT15,ES41,ES42,ES21,SE32,UKC2,UKE4,UKG1,UKG2,UKJ4,UKJ2,UKL1,UKM9,UKM8
FRE2,9.980277669223575,10.243356508127926,9.959678840277139,12.017370463313851,12.029830979023503,12.10397268245099,11.686728915699529,11.42546779018761,9.871824731192024,10.976070538929614,0.0,10.474726313513054,10.176749457682211,10.185673828230767,9.538922867509628,9.591947234252594,11.018208283639941,10.663593710392615,11.349766787580139,10.76218076672943,10.662705311348061,9.39240200009803,10.174020577819611,11.776602284569341,8.990114088963638,10.026572399360449,9.589957866260352,9.33071572717657,9.500525027676279,9.481367511373968,9.287697644125732,9.60198736153208,9.40572041373507,9.324660623237454,9.393942904232444
ITF6,10.30037474815374,10.802978038897127,10.09471960050485,10.150180204508404,10.284838784989395,10.515120746900747,9.748034404587125,11.003904229332974,9.39635917971325,10.05286293658734,10.474726313513054,0.0,9.34579182824836,9.755056956241548,9.800667440776875,9.84676771914877,10.463736803851818,9.293073936698171,10.498909146102974,8.964795006780752,9.303779207642252,10.656223594404942,9.977146549046065,10.969495737094807,9.662097043093786,10.359325605996284,9.983732351401455,9.840625849656869,10.119680828257534,9.898768943594824,9.480236039730645,10.165073068840526,10.752610537034364,10.56929756996268,10.655906068277677
ITF1,10.349980675710574,10.811398128494648,9.780816921484929,10.75706243645801,11.705284054911282,11.750024715973796,11.296497353360408,11.151767853767955,8.921527228786552,10.244133901896872,10.176749457682211,9.34579182824836,0.0,9.873334960802003,9.60735126534248,9.73027394500195,11.003897867601669,9.724125886811064,11.186607248168206,9.51905121928508,9.628560593728162,9.423621780788297,9.844487748089623,12.247833130031113,9.914922896619359,10.245441956809792,9.89845656069677,9.716021635044527,9.336386848000046,9.675758730600005,9.412750820748865,10.103678655856479,10.538220289553777,10.178231047439303,10.43887486650495
ITH4,10.362322991784616,10.374519789801667,9.624183205149201,11.772754140092085,12.060031150263375,12.05685710649592,11.594014549582777,12.11897286491016,9.985614942109306,10.196659532921528,10.185673828230767,9.755056956241548,9.873334960802003,0.0,9.59441847890668,10.106090578996467,10.128261223854519,9.883280599495963,10.321872921388135,9.903387385126347,9.916585009269985,10.451578238195191,10.05439730077143,11.773974746241667,9.297693900076444,10.186916534428404,9.626951895232587,9.51310005505088,9.336558973490048,9.903470461783705,8.918579352875055,9.458489258259151,9.791501265153908,9.407310593167525,9.48401827272395
NL23,9.030941149421837,9.25672707311771,8.99187717453212,11.646213651540723,11.579170639466271,11.749628024174784,11.27210392951496,10.541099969126842,8.945893524358484,10.976434353791944,9.538922867509628,9.800667440776875,9.60735126534248,9.59441847890668,0.0,8.0996714308226,10.256193589497553,9.97666309779529,10.748061771909914,9.748905083680448,9.676060681680196,9.155609860778371,9.747736091331841,11.108531129524907,8.64678263172633,8.947441666539705,8.758107503057852,8.687976644670664,8.608072342695431,8.4848991548272,8.445344193435218,8.57964237364539,9.650292731281786,8.656704751390295,9.263017388245789
NL13,9.25864445927136,9.1983759368713,9.05690978179706,11.208717765923302,11.268463244571466,11.380657688066064,11.235689607736632,10.581715767772288,8.860162858274736,11.241513339572222,9.591947234252594,9.84676771914877,9.73027394500195,10.106090578996467,8.0996714308226,0.0,10.959337945032296,10.230869476378258,11.420400965644376,10.341343461158088,10.265993229337806,8.7633536220316,9.63904406554618,11.100065137155482,8.708216514425082,8.082513688015425,9.04166550041081,8.76842980815835,8.488453682125407,8.277427278979077,8.69073802617476,8.38052764153187,9.490924511060928,8.885540570215674,9.285306390051783
PL61,11.636912618615339,11.790423024306508,10.516280183885392,11.728579582047075,11.744338202778914,12.025352491545028,11.20738220581132,12.132129351715557,10.809732819252961,10.787072190135111,11.018208283639941,10.463736803851818,11.003897867601669,10.128261223854519,10.256193589497553,10.959337945032296,0.0,10.023641534189945,10.270007039271515,10.173485135950239,10.039282581121677,11.540293729358572,10.592337276374568,11.794591400204748,9.949556760459933,11.241037132013943,10.287870348724063,10.217976045577004,10.35092899282314,10.616214914555519,10.158904128659684,10.341041226478792,10.992018887261903,10.401701075993913,10.350317479143056
PL81,10.610905179284929,10.736428958141094,10.027513982142292,10.189562270929706,11.372345401616396,11.436566731869025,10.567531384599597,11.462581736870854,9.40078381780648,9.815819636117652,10.663593710392615,9.293073936698171,9.724125886811064,9.883280599495963,9.97666309779529,10.230869476378258,10.023641534189945,0.0,10.201093081502403,8.969076800833543,8.889810986910403,10.481958795338562,10.020217947374414,11.772675131591635,9.98360202199391,10.388329454472117,10.060642307200107,9.89904131076415,9.822987817053999,9.844825900444633,9.487337613876806,9.891077341117931,10.668967862752341,10.42463982348368,10.252099694606528
PL43,11.206477580163012,11.930310583445385,10.982130309489204,12.143189777962853,12.922674502806771,12.889281177975747,11.751530422399664,12.477103052358027,10.841960099054274,10.19076663613113,11.349766787580139,10.498909146102974,11.186607248168206,10.321872921388135,10.748061771909914,11.420400965644376,10.270007039271515,10.201093081502403,0.0,9.769983723467622,9.816415273136332,12.001529363699872,10.538457654023091,12.680393909380115,10.402449104884246,11.95772700116021,10.402593503598862,10.599531708949986,10.895775921352593,11.082383868596311,10.400578399481832,10.922471987873687,11.405744343257913,10.937408292991469,10.612514933416476
PL82,10.643095898038185,11.14689845338463,9.896156425723062,10.080377691011682,10.705183406299883,10.890962872746762,10.1330543654708,11.088900637883807,9.361489818761893,9.894214759913337,10.76218076672943,8.964795006780752,9.51905121928508,9.903387385126347,9.748905083680448,10.341343461158088,10.173485135950239,8.969076800833543,9.769983723467622,0.0,8.640461245002447,10.915331505589139,9.630675461552295,11.375004382345795,9.777940805131365,10.873467700153958,9.862106522700081,10.183230136926603,9.851315744788955,9.967752394572226,9.646759212060207,10.238046048215981,11.001266112462346,10.583464052204825,10.62711878756753
