Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08116027 Hochdorf;3580;1818;1762;0;2593;1758;16;2577;931;599;233;340;247;67;8;;44;40;;;;32;;;17;;;15;;4
08116029 Holzmaden;1656;884;772;0;1329;745;7;1322;420;320;119;169;142;16;18;;20;14;;;;50;;;9;;;10;;15
08116033 Kirchheim unter Teck, Stadt;27777;18164;9613;0;17759;8971;97;17662;6164;3668;1480;2674;1780;629;162;;254;211;;;;287;;;136;;;117;;100
08116035 Köngen;6904;4405;2499;0;4894;2392;28;4866;1605;1305;436;583;509;100;31;;72;103;;;;48;;;32;;;23;;19
08116036 Kohlberg;1756;1035;721;0;1256;686;8;1248;411;330;150;110;145;18;8;;15;38;;;;8;3;;8;;;4;;
08116037 Lichtenwald;1990;1081;909;0;1457;887;9;1448;481;370;143;135;189;37;14;;14;14;;;;20;;;10;;;15;;6
08116041 Neckartailfingen;2791;1624;1167;0;2036;1113;17;2019;668;469;243;201;231;34;11;;35;72;;;;19;9;;21;;;6;;
08116042 Neckartenzlingen;4111;2759;1352;0;2562;1280;19;2543;986;506;256;218;356;64;16;;40;51;;;;18;3;;13;;;16;;
08116043 Neidlingen;1357;822;535;0;976;521;7;969;296;284;91;101;93;26;14;;19;12;;;;11;;;9;;;3;;10
08116046 Neuffen, Stadt;4570;2898;1672;0;3255;1599;26;3229;1275;665;355;278;390;40;38;;42;83;;;;20;8;;17;;;18;;
08116047 Neuhausen auf den Fildern;8566;5314;3252;0;5819;3049;43;5776;2112;1586;403;564;639;118;16;;65;176;;;;44;;;22;;;31;;
08116048 Notzingen;2851;1678;1173;0;2135;1124;10;2125;649;591;195;260;237;35;13;;29;28;;;;36;;;15;;;6;;31
08116049 Nürtingen, Stadt;27565;18526;9039;0;17726;8527;115;17611;6624;3772;1920;1654;1817;550;104;;251;366;;;;182;67;;210;;;94;;
08116050 Oberboihingen;3888;1974;1914;0;2688;1849;19;2669;906;690;284;254;318;58;17;;44;31;;;;26;;;12;;;14;;15
08116053 Ohmden;1318;716;602;0;973;579;6;967;321;238;117;119;94;21;2;;16;11;;;;13;;;3;;;7;;5
08116054 Owen, Stadt;2436;1485;951;0;1837;918;5;1832;651;528;114;195;189;30;10;;22;26;;;;18;;;17;;;15;;17
08116056 Plochingen, Stadt;9121;6207;2914;0;5692;2759;31;5661;1799;1360;485;805;573;243;30;;113;77;;;;51;;;60;;;36;;29
08116058 Reichenbach an der Fils;5704;3828;1876;0;3745;1790;24;3721;1191;981;369;448;307;98;31;;87;115;;;;27;;;26;;;24;17;
08116063 Schlaitdorf;1467;900;567;0;1081;549;4;1077;395;241;111;76;145;24;5;;21;31;;;;7;0;;10;;;11;;
08116068 Unterensingen;3458;2275;1183;0;2437;1125;11;2426;743;616;301;235;293;60;18;;45;36;;;;29;;;19;;;17;;14
08116070 Weilheim an der Teck, Stadt;6917;4333;2584;0;4817;2476;37;4780;1603;1182;426;578;472;110;44;;63;77;;;;96;;;29;;;40;;60
08116071 Wendlingen am Neckar, Stadt;10970;7514;3456;0;6948;3262;46;6902;2231;1681;812;783;697;203;26;;132;124;;;;102;;;50;;;38;;23
08116072 Wernau (Neckar), Stadt;8617;5322;3295;0;5444;3012;30;5414;1723;1448;513;638;558;157;23;;72;95;;;;68;;;50;;;49;;20
08116073 Wolfschlugen;4697;2897;1800;0;3294;1712;16;3278;1117;905;325;318;329;69;17;;39;74;;;;32;;;26;;;27;;
08116076 Aichwald;5821;3542;2279;0;4290;2177;31;4259;1075;1054;313;1143;399;73;16;;28;64;;;;27;;;33;;;34;;
08116077 Filderstadt, Stadt;30708;18655;12053;0;20444;11386;105;20339;7981;4583;1538;1824;2391;580;106;;274;572;;;;186;82;;122;;;100;;
08116078 Leinfelden-Echterdingen, Stadt;26742;16725;10014;3;18912;9549;79;18833;7843;3835;1221;1831;2270;531;112;;229;539;;;;121;92;;134;;;75;;
08116079 Lenningen;5636;3829;1807;0;3784;1721;19;3765;1194;967;409;426;377;94;27;;67;45;;;;54;;;21;;;40;;44
08116080 Ostfildern, Stadt;26541;16549;9992;0;17205;9494;73;17132;6283;4234;1261;2092;1702;598;131;;175;361;;;;82;;;131;;;82;;
08116081 Aichtal, Stadt;7297;4368;2929;0;5134;2791;32;5102;2013;1104;490;408;640;94;32;;56;117;;;;64;15;;33;;;36;;
08117001 Adelberg;1550;904;646;0;1164;626;9;1155;298;297;159;147;121;32;5;;17;42;;;;18;;;6;;;10;3;
08117002 Aichelberg;1009;618;391;0;698;372;6;692;214;165;77;64;106;7;8;;;15;;;;;;;7;;;28;1;
08117003 Albershausen;3241;2017;1224;0;2180;1164;15;2165;583;585;299;246;254;54;12;;;47;;;;;;;22;;;51;12;
08117006 Bad Ditzenbach;2832;1657;1175;0;1897;1113;16;1881;477;667;213;188;199;33;9;;;48;;;;;;;14;;;24;9;
08117007 Bad Überkingen;3017;1704;1313;0;2136;1258;17;2119;533;721;259;314;165;36;15;;;37;;;;;;;10;;;24;5;
08117009 Birenbach;1483;859;624;0;1030;589;5;1025;272;267;117;151;135;25;5;;10;24;;;;8;;;4;;;4;3;
08117010 Böhmenkirch;3945;2549;1396;0;2735;1332;34;2701;619;969;323;278;299;41;16;;;95;;;;;;;16;;;35;10;
08117011 Börtlingen;1336;642;694;0;946;668;8;938;300;282;97;75;79;17;12;;18;38;;;;10;;;4;;;4;2;
08117012 Bad Boll;3862;2196;1666;0;2667;1589;9;2658;1022;560;227;248;273;86;35;;;52;;;;;;;38;;;97;20;
