Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08125001 Abstatt;3483;2201;1282;0;2410;1235;23;2387;735;589;315;204;313;56;20;;54;73;;;;18;;;;;;10;;
08125005 Bad Friedrichshall, Stadt;12605;9235;3370;0;7358;3199;72;7286;1848;1686;1134;990;687;248;76;;144;272;;;;72;;;;;;82;47;
08125006 Bad Rappenau, Stadt;15930;11341;4589;0;9367;4347;90;9277;2174;2300;1446;1036;1016;246;306;;178;382;;;;98;;;;;;95;;
08125007 Bad Wimpfen, Stadt;5034;3481;1553;0;3330;1476;26;3304;1080;877;343;409;288;99;20;;56;63;;;;26;;;;;;20;23;
08125008 Beilstein, Stadt;4515;2914;1601;0;3226;1501;29;3197;1035;781;371;262;474;82;27;;38;86;;;;25;;;;;;16;;
08125013 Brackenheim, Stadt;11395;7613;3782;0;7679;3604;64;7615;2241;1726;986;731;1032;214;55;;139;278;;;;103;;;;;;110;;
08125017 Cleebronn;2023;1294;729;0;1386;709;15;1371;364;410;168;101;189;26;9;;24;45;;;;18;;;;;;17;;
08125021 Eberstadt;2322;1696;626;0;1591;605;14;1577;437;341;212;190;215;54;16;;23;47;;;;12;;;;;;17;13;
08125024 Ellhofen;2708;1847;861;0;1886;823;14;1872;537;443;239;221;230;56;14;;42;52;;;;9;;;;;;20;9;
08125026 Eppingen, Stadt;15404;10501;4903;0;9525;4662;95;9430;1782;2331;1395;1497;1589;172;83;;156;221;;;;62;;;;;;142;;
08125027 Erlenbach;3764;2330;1434;0;2679;1390;29;2650;687;807;282;309;289;51;10;;60;94;;;;30;;;;;;18;13;
08125030 Flein;5453;3292;2161;0;4016;2072;22;3994;1233;948;348;424;593;115;21;;66;102;;;;25;;;23;;;73;23;
08125034 Gemmingen;3704;2643;1061;0;2289;1016;27;2262;572;517;299;306;286;72;31;;51;78;;;;29;;;;;;21;;
08125038 Güglingen, Stadt;3851;2728;1123;0;2390;1079;23;2367;635;590;398;199;295;67;32;;41;54;;;;24;;;;;;32;;
08125039 Gundelsheim, Stadt;5358;3442;1916;0;3744;1824;26;3718;839;1136;498;473;368;92;20;;54;102;;;;46;;;;;;41;49;
08125046 Ilsfeld;6507;4061;2446;0;4675;2342;23;4652;1358;1252;577;411;628;120;35;;67;132;;;;49;;;;;;23;;
08125047 Ittlingen;1741;1126;615;0;1170;595;11;1159;242;331;144;147;184;26;7;;16;30;;;;12;;;;;;20;;
08125048 Jagsthausen;1047;695;352;0;723;338;8;715;204;179;77;80;69;18;10;;20;13;;;;30;;;;;;11;4;
08125049 Kirchardt;3921;2868;1053;0;2230;1001;17;2213;482;587;397;242;281;46;24;;47;62;;;;16;;;;;;29;;
08125056 Lauffen am Neckar, Stadt;7965;4501;3464;0;5428;3308;25;5403;1805;1213;537;608;635;179;55;;108;118;;;;96;;;;;;49;;
08125057 Lehrensteinsfeld;1917;1347;570;0;1360;541;6;1354;445;280;167;148;177;32;13;;23;56;;;;2;;;;;;6;5;
08125058 Leingarten;8465;5563;2901;1;5741;2767;49;5692;1766;1293;651;625;741;151;32;;85;138;;;;64;;;29;;;89;28;
08125059 Löwenstein, Stadt;2511;1637;874;0;1736;823;25;1711;500;387;248;182;192;74;13;;27;41;;;;18;;;;;;20;9;
08125061 Massenbachhausen;2530;1678;852;0;1599;814;16;1583;359;481;218;187;168;43;11;;24;61;;;;13;;;;;;18;;
08125063 Möckmühl, Stadt;5548;4007;1541;0;3248;1460;37;3211;895;714;557;366;279;115;36;;67;108;;;;23;;;;;;38;13;
08125065 Neckarsulm, Stadt;16537;12464;4073;0;9831;3844;93;9738;2565;2232;1305;1873;848;249;36;;171;239;;;;79;;;;;;83;58;
08125066 Neckarwestheim;2865;1639;1226;0;1925;1185;11;1914;447;522;274;161;278;38;11;;32;120;;;;18;;;;;;13;;
08125068 Neudenau, Stadt;3814;2645;1169;0;2568;1138;24;2544;633;733;384;256;228;87;11;;35;116;;;;13;;;;;;38;10;
08125069 Neuenstadt am Kocher, Stadt;7280;5216;2064;0;4772;1986;50;4722;1124;1300;842;511;485;128;28;;66;141;;;;32;;;;;;45;20;
08125074 Nordheim;6011;3959;2052;0;4124;1952;28;4096;1182;982;486;465;501;100;30;;69;136;;;;37;;;27;;;63;18;
08125078 Oedheim;4666;3086;1580;0;3185;1520;25;3160;786;906;418;400;301;74;22;;71;115;;;;20;;;;;;32;15;
08125079 Offenau;1963;1194;769;0;1298;738;10;1288;346;313;211;150;95;52;11;;16;46;;;;26;;;;;;15;7;
08125081 Pfaffenhofen;1584;968;616;0;1185;570;14;1171;275;266;217;133;162;29;12;;29;31;;;;8;;;;;;9;;
08125084 Roigheim;972;695;277;0;599;257;11;588;140;179;104;61;45;19;7;;4;12;;;;7;;;;;;8;2;
08125086 Schwaigern, Stadt;8049;5785;2264;0;5531;2182;33;5498;1537;1281;574;621;834;167;61;;120;159;;;;89;;;;;;55;;
08125087 Siegelsbach;1189;777;412;0;804;397;8;796;171;174;137;89;100;38;10;;27;36;;;;9;;;;;;5;;
08125094 Talheim;3721;2185;1536;0;2752;1487;28;2724;870;699;286;199;417;56;20;;29;80;;;;25;;;8;;;25;10;
08125096 Untereisesheim;2963;2079;884;0;1992;856;23;1969;518;402;243;376;209;50;15;;31;62;;;;31;;;;;;15;17;
08125098 Untergruppenbach;6287;4130;2157;0;4417;2049;28;4389;1380;1038;540;505;529;119;37;;71;95;;;;43;;;;;;32;;
08125102 Weinsberg, Stadt;8515;6047;2468;0;5484;2333;32;5452;1779;1176;621;543;639;268;55;;106;150;;;;35;;;;;;57;23;
08125103 Widdern, Stadt;1266;890;376;0;826;361;8;818;226;224;109;84;71;20;8;;26;26;;;;10;;;;;;9;5;
08125107 Wüstenrot;5181;3537;1644;0;3274;1564;34;3240;791;1035;503;282;281;108;22;;56;97;;;;26;;;;;;21;18;
08125108 Zaberfeld;3047;1937;1110;0;2130;1065;23;2107;515;435;441;225;259;50;19;;45;62;;;;23;;;;;;33;;
08125110 Obersulm;10328;7148;3180;0;6780;2989;50;6730;2285;1434;808;814;655;171;57;;123;227;;;;49;;;;;;70;37;
08125111 Hardthausen am Kocher;2962;1922;1040;0;2057;993;20;2037;443;585;348;178;245;52;25;;33;90;;;;16;;;;;;18;4;
08125113 Langenbrettach;2830;1788;1042;0;2007;993;18;1989;503;536;329;182;216;50;19;;24;86;;;;17;;;;;;16;11;
08126011 Bretzfeld;9523;6969;2554;0;6211;2423;52;6159;1775;1252;1020;723;662;231;49;;;306;;;;;;;;;;105;36;
08126020 Dörzbach;1849;1367;482;0;1242;470;9;1233;253;511;152;121;112;24;5;;;39;;;;;;;;;;9;7;
08126028 Forchtenberg, Stadt;3707;2737;970;0;2398;931;14;2384;686;550;411;244;239;61;27;;;103;;;;;;;;;;48;15;
08126039 Ingelfingen, Stadt;4070;2686;1384;0;2765;1319;23;2742;781;728;413;285;290;63;33;;;108;;;;;;;;;;28;13;
08126045 Krautheim, Stadt;3383;2592;791;0;2144;719;28;2116;508;723;304;161;180;68;15;;;115;;;;;;;;;;30;12;
08126046 Künzelsau, Stadt;10624;7863;2761;0;6240;2624;61;6179;1854;1500;970;712;617;172;53;;;156;;;;;;;;;;81;64;
08126047 Kupferzell;4496;3306;1190;0;2874;1136;19;2855;834;625;353;396;367;82;26;;;108;;;;;;;;;;42;22;
08126056 Mulfingen;2858;2209;649;0;2023;619;17;2006;609;729;199;143;179;52;12;;;53;;;;;;;;;;17;13;
08126058 Neuenstein, Stadt;4818;3211;1607;0;3127;1541;31;3096;981;629;429;391;347;98;38;;;123;;;;;;;;;;32;28;
08126060 Niedernhall, Stadt;2917;1986;931;0;1947;900;27;1920;558;360;301;262;222;66;16;;;71;;;;;;;;;;43;21;
08126066 Öhringen, Stadt;17698;13460;4238;0;10072;4017;92;9980;2997;1950;1500;1574;1078;258;87;;;330;;;;;;;;;;133;73;
08126069 Pfedelbach;6919;4994;1925;0;4515;1836;37;4478;1310;971;658;550;532;116;29;;;201;;;;;;;;;;76;35;
08126072 Schöntal;4342;2594;1748;0;3126;1663;25;3101;829;1067;315;266;333;52;37;;;154;;;;;;;;;;35;13;
08126085 Waldenburg, Stadt;2194;1746;448;0;1403;422;14;1389;514;282;164;162;132;41;12;;;54;;;;;;;;;;20;8;
08126086 Weißbach;1365;983;382;0;757;366;7;750;194;174;129;125;68;12;8;;;23;;;;;;;;;;9;8;
08126094 Zweiflingen;1342;905;437;0;890;421;7;883;230;220;145;92;129;12;14;;;26;;;;;;;;;;4;11;
08127008 Blaufelden;3828;2946;882;0;2375;831;17;2358;572;704;262;248;267;78;76;;;97;;;;;;;;;;42;12;
08127009 Braunsbach;1939;1465;474;0;1310;450;12;1298;367;295;162;148;189;42;23;;;48;;;;;;;;;;20;4;
08127012 Bühlertann;2420;1789;631;0;1542;605;13;1529;351;433;304;115;212;33;14;;19;23;;;;11;;;7;;;7;;
08127013 Bühlerzell;1640;1111;529;0;1139;510;8;1131;289;372;168;115;105;14;4;;21;22;;;;12;;;6;;;3;;
08127014 Crailsheim, Stadt;23705;18534;5171;0;12315;4792;93;12222;2842;2894;1847;1275;2128;312;220;;173;199;;;;185;;;62;;;85;;
08127023 Fichtenberg;2311;1739;572;0;1480;555;11;1469;384;277;223;164;223;65;20;;33;34;;;;28;;;4;;;14;;
08127025 Gaildorf, Stadt;8227;6248;1979;0;4760;1861;50;4710;1211;964;645;773;634;121;63;;62;103;;;;41;;;55;;;38;;
08127032 Gerabronn, Stadt;3182;2420;762;0;1838;715;31;1807;511;403;206;219;223;79;30;;;84;;;;;;;;;;40;12;
08127043 Ilshofen, Stadt;4892;3622;1270;0;3079;1225;32;3047;875;757;364;285;427;87;47;;50;77;;;;43;;;19;;;16;;
08127046 Kirchberg an der Jagst, Stadt;3153;2237;916;0;2062;860;13;2049;576;448;252;184;245;119;36;;44;47;;;;72;;;8;;;18;;
08127047 Langenburg, Stadt;1388;962;426;0;967;411;15;952;306;230;123;103;87;28;28;;;26;;;;;;;;;;17;4;
08127052 Mainhardt;4524;3285;1239;0;2883;1188;25;2858;827;661;426;246;307;110;43;;72;69;;;;68;;;11;;;18;;
08127056 Michelbach an der Bilz;2657;1696;961;0;1888;934;14;1874;657;359;185;256;214;64;23;;32;31;;;;42;;;8;;;3;;
08127059 Michelfeld;2888;1949;939;0;1977;894;16;1961;669;452;196;249;220;51;16;;26;35;;;;20;;;13;;;14;;
08127062 Oberrot;2629;1878;751;0;1593;715;9;1584;431;336;271;180;199;41;14;;33;23;;;;31;;;9;;;16;;
08127063 Obersontheim;3926;2912;1014;0;2560;953;35;2525;685;658;332;278;331;69;22;;57;43;;;;29;;;9;;;12;;
08127071 Rot am See;4041;2992;1049;0;2778;1005;26;2752;682;803;258;267;439;81;34;;27;64;;;;68;;;6;;;23;;
08127073 Satteldorf;4223;3111;1112;0;2713;1074;23;2690;741;545;378;248;436;81;49;;45;66;;;;63;;;16;;;22;;
08127075 Schrozberg, Stadt;4158;3120;1038;0;2458;985;21;2437;571;698;349;235;270;53;66;;;145;;;;;;;;;;41;9;
08127076 Schwäbisch Hall, Stadt;28554;20031;8523;0;17822;8107;123;17699;6391;3422;1615;2462;1619;893;149;;375;255;;;;310;;;103;;;105;;
08127079 Sulzbach-Laufen;1905;1447;458;0;1208;429;11;1197;312;222;149;145;257;29;8;;24;28;;;;8;;;2;;;13;;
08127086 Untermünkheim;2328;1570;758;0;1544;722;17;1527;478;426;142;162;186;42;23;;;37;;;;;;;;;;21;10;
08127089 Vellberg, Stadt;3419;2385;1034;0;2242;985;13;2229;743;491;247;252;274;58;31;;40;40;;;;30;;;12;;;11;;
08127091 Wallhausen;2817;2191;626;0;1658;594;13;1645;405;360;234;155;284;36;23;;46;42;;;;41;;;7;;;12;;
08127099 Wolpertshausen;1657;1079;578;0;1132;564;5;1127;333;268;120;98;136;42;17;;22;39;;;;30;;;6;;;16;;
08127100 Rosengarten;3878;2613;1265;0;2635;1189;21;2614;879;525;269;343;320;80;36;;47;41;;;;35;;;15;;;24;;
08127101 Kreßberg;2999;1900;1099;0;1900;1041;13;1887;470;499;227;152;288;43;45;;28;29;;;;86;;;5;;;15;;
08127102 Fichtenau;3404;2543;861;0;1981;816;22;1959;344;574;356;181;338;34;19;;26;42;;;;19;;;6;;;20;;
08127103 Frankenhardt;3806;2660;1146;0;2491;1097;24;2467;627;690;332;207;348;63;19;;44;55;;;;56;;;10;;;16;;
08127104 Stimpfach;2295;1364;931;0;1577;908;9;1568;279;798;208;86;98;34;15;;12;14;;;;15;;;3;;;6;;
08128006 Assamstadt;1697;1106;591;0;1265;582;16;1249;263;483;147;69;117;20;11;;49;54;;;;11;;;6;;;19;;
08128007 Bad Mergentheim, Stadt;17187;11840;5347;0;10303;5048;73;10230;3097;2949;1133;855;968;258;127;;147;376;;;;102;;;91;;;127;;
08128014 Boxberg, Stadt;5258;3890;1368;0;3849;1301;72;3777;1014;963;449;511;320;84;67;;90;183;;;;37;;;10;;;49;;
08128020 Creglingen, Stadt;3591;2722;869;0;2479;820;27;2452;531;719;302;245;324;55;29;;39;142;;;;25;;;10;;;31;;
08128039 Freudenberg, Stadt;2805;1976;829;0;1775;781;22;1753;450;672;131;167;90;38;16;;29;119;;;;20;;;6;;;15;;
08128045 Großrinderfeld;3232;2261;971;0;2070;921;17;2053;501;777;214;175;129;32;20;;17;138;;;;20;;;14;;;16;;
08128047 Grünsfeld, Stadt;2882;1982;900;0;1978;840;21;1957;520;669;222;176;145;31;19;;26;105;;;;12;;;12;;;20;;
08128058 Igersheim;4330;2759;1571;0;2793;1484;17;2776;859;856;247;183;243;73;27;;42;151;;;;38;;;11;;;46;;
08128061 Königheim;2376;1514;862;0;1805;824;13;1792;463;782;107;128;98;32;13;;26;111;;;;7;;;4;;;21;;
08128064 Külsheim, Stadt;4084;2701;1383;0;2820;1324;24;2796;521;734;233;417;148;53;17;;28;591;;;;5;;;6;;;43;;
08128082 Niederstetten, Stadt;3825;2744;1081;0;2488;1010;38;2450;666;647;324;183;298;47;16;;37;162;;;;22;;;10;;;38;;
08128115 Tauberbischofsheim, Stadt;9943;6382;3561;0;6364;3392;46;6318;1811;1941;599;681;473;129;63;;93;381;;;;49;;;28;;;70;;
08128126 Weikersheim, Stadt;5908;4029;1879;0;3945;1802;40;3905;1097;1017;397;361;576;108;38;;53;134;;;;50;;;17;;;57;;
08128128 Werbach;2610;1877;733;0;1771;707;15;1756;442;500;204;186;138;51;35;;21;131;;;;10;;;9;;;29;;
08128131 Wertheim, Stadt;16824;11990;4834;0;9433;4506;69;9364;2539;2390;1049;1432;630;281;156;;113;591;;;;70;;;37;;;76;;
08128137 Wittighausen;1308;905;403;0;870;396;6;864;233;271;101;55;88;11;8;;13;64;;;;10;;;7;;;3;;
08128138 Ahorn;1782;1372;410;0;1314;392;11;1303;331;400;166;129;98;40;13;;12;79;;;;1;;;9;;;25;;
08128139 Lauda-Königshofen, Stadt;10860;6524;4336;0;6823;4134;45;6778;1914;2006;745;677;488;191;121;;91;383;;;;50;;;30;;;82;;
08135010 Dischingen;3313;2446;867;0;2332;822;18;2314;450;668;356;369;201;31;65;;27;94;;;0;25;;;9;;;19;;
08135015 Gerstetten;8627;5599;3028;0;5762;2875;36;5726;1496;1188;613;970;488;131;309;;132;215;;;6;85;;;31;;;62;;
08135016 Giengen an der Brenz, Stadt;13029;9780;3249;0;6816;3081;65;6751;1717;1400;875;1614;435;196;66;;80;200;;;6;75;;;34;;;53;;
08135019 Heidenheim an der Brenz, Stadt;31798;22589;9209;0;17774;8726;126;17648;4832;3582;1808;3950;1285;607;168;;344;400;;;62;288;;;170;;;152;;
08135020 Herbrechtingen, Stadt;9528;6674;2854;0;5751;2690;60;5691;1481;1156;679;1124;434;146;49;;98;310;;;12;110;;;35;;;57;;
08135021 Hermaringen;1756;1129;627;0;1226;596;7;1219;338;243;117;261;103;26;15;;16;60;;;9;9;;;13;;;9;;
08135025 Königsbronn;5353;3705;1648;0;3517;1584;20;3497;950;675;364;775;307;84;42;;71;95;;;4;62;;;29;;;39;;
08135026 Nattheim;4961;3403;1558;0;3232;1483;28;3204;742;793;438;603;309;62;31;;42;80;;;1;43;;;15;;;45;;
08135027 Niederstotzingen, Stadt;3519;2506;1013;0;2178;949;17;2161;488;639;310;289;178;38;20;;35;88;;;0;21;;;5;;;50;;
08135031 Sontheim an der Brenz;4111;2711;1400;0;2810;1357;20;2790;575;923;305;451;184;55;71;;41;110;;;2;31;;;17;;;25;;
08135032 Steinheim am Albuch;6581;4011;2570;0;4258;2422;13;4245;1204;1094;409;727;300;76;77;;73;151;;;5;66;;;30;;;33;;
08136002 Abtsgmünd;5843;3635;2208;0;3773;2100;31;3742;1031;1003;401;383;350;104;18;;72;;;;;27;;;26;;;23;;304
08136003 Adelmannsfelden;1430;845;585;0;997;558;6;991;252;242;106;69;71;21;4;;18;178;;;;17;;;2;;;7;4;
08136007 Bartholomä;1642;1072;570;0;1144;552;5;1139;336;319;148;123;96;31;9;;23;;;;;15;;;4;;;14;;21
08136009 Böbingen an der Rems;3533;2383;1150;0;2393;1093;14;2379;747;572;292;247;276;75;13;;40;;;;;18;;;16;;;28;;55
08136010 Bopfingen, Stadt;8684;6449;2235;0;4808;2121;56;4752;699;1366;720;1058;355;70;18;;47;289;;;;48;;;22;;;48;12;
08136015 Durlangen;2182;1625;557;0;1450;532;14;1436;309;370;257;111;202;50;18;;35;;;;;25;;;7;;;17;;35
08136018 Ellenberg;1363;949;414;0;970;410;12;958;136;311;83;37;53;11;3;;8;288;;;;16;;;2;;;8;2;
08136019 Ellwangen (Jagst), Stadt;17893;11517;6376;0;11535;6038;83;11452;2408;3454;815;753;680;252;35;;125;2739;;;;60;;;48;;;46;37;
08136020 Eschach;1423;909;514;0;985;493;9;976;240;256;145;90;105;36;6;;28;;;;;16;;;5;;;5;;44
08136021 Essingen;5023;3317;1706;0;3415;1589;32;3383;1100;863;291;422;412;79;11;;49;;;;;50;;;10;;;24;;72
08136024 Göggingen;1957;1334;623;0;1288;597;11;1277;292;337;227;101;165;24;6;;24;;;;;19;;;3;;;20;;59
08136027 Gschwend;3833;2787;1046;0;2502;1009;27;2475;725;572;402;213;294;76;33;;39;;;;;33;;;10;;;17;;61
08136028 Heubach, Stadt;6978;4963;2015;0;4241;1921;36;4205;1344;990;491;572;423;131;20;;65;;;;;59;;;18;;;38;;54
08136029 Heuchlingen;1481;936;545;0;1025;519;7;1018;291;339;105;77;81;17;2;;16;;;;;2;;;7;;;4;;77
08136033 Hüttlingen;4732;2825;1907;0;3219;1842;26;3193;956;986;240;288;314;103;9;;36;178;;;;28;;;21;;;21;13;
08136034 Iggingen;1999;1302;697;0;1337;667;15;1322;368;411;178;105;137;31;7;;16;;;;;8;;;9;;;10;;42
08136035 Jagstzell;1740;1050;690;0;1278;669;12;1266;254;478;110;76;88;19;9;;8;193;;;;11;;;7;;;10;3;
08136037 Kirchheim am Ries;1396;998;398;0;965;374;7;958;180;344;155;113;76;16;3;;6;50;;;;5;;;4;;;5;1;
08136038 Lauchheim, Stadt;3572;2211;1361;0;2371;1302;12;2359;574;767;255;198;224;52;6;;35;183;;;;21;;;12;;;20;12;
08136040 Leinzell;1551;990;561;0;944;531;4;940;224;228;165;140;87;42;5;;12;;;;;6;;;3;;;6;;22
08136042 Lorch, Stadt;8021;5637;2383;1;5388;2295;35;5353;1541;1347;598;618;705;145;43;;82;;;;;75;;;69;;;59;;71
08136043 Mögglingen;3206;2000;1206;0;2187;1146;10;2177;622;516;218;322;259;79;12;;42;;;;;22;;;11;;;18;;56
08136044 Mutlangen;4987;3011;1976;0;3374;1881;16;3358;1024;890;398;373;382;97;17;;43;;;;;44;;;18;;;31;;41
08136045 Neresheim, Stadt;6034;4155;1879;0;4114;1774;19;4095;807;1344;405;338;843;77;19;;33;148;;;;17;;;12;;;36;16;
08136046 Neuler;2533;1452;1081;0;1879;1035;21;1858;406;735;99;76;127;24;12;;16;318;;;;12;;;9;;;12;12;
08136049 Obergröningen;364;268;96;0;228;93;3;225;55;42;47;21;22;12;0;;0;;;;;1;;;1;;;1;;23
08136050 Oberkochen, Stadt;5628;4032;1596;0;3377;1525;23;3354;1026;799;378;475;308;113;19;;58;94;;;;36;;;14;;;23;11;
08136060 Rosenberg;2069;1135;934;0;1473;891;5;1468;324;476;135;82;110;25;4;;18;250;;;;14;;;11;;;13;6;
08136061 Ruppertshofen;1461;1004;457;0;936;441;4;932;210;212;180;101;110;35;7;;13;;;;;20;;;3;;;12;;29
08136062 Schechingen;1795;954;841;0;1203;789;11;1192;275;394;163;116;122;39;5;;23;;;;;9;;;2;;;10;;34
08136065 Schwäbisch Gmünd, Stadt;41826;28911;12915;0;25162;12136;197;24965;8135;6289;2766;2708;2528;1069;128;;471;;;;;209;;;208;;;218;;236
08136066 Spraitbach;2607;1756;851;0;1653;794;13;1640;382;432;291;178;177;74;10;;18;;;;;14;;;12;;;23;;29
08136068 Stödtlen;1469;882;587;0;990;562;13;977;187;437;54;41;77;14;3;;10;131;;;;2;;;18;;;3;0;
08136070 Täferrot;778;560;218;0;540;212;10;530;120;130;90;49;49;30;5;;9;;;;;16;;;9;;;6;;17
08136071 Tannhausen;1414;962;452;0;883;425;5;878;144;415;69;32;64;9;2;;5;113;;;;11;;;2;;;8;4;
08136075 Unterschneidheim;3692;2796;896;0;2656;874;38;2618;445;1176;277;135;236;36;11;;23;223;;;;26;;;11;;;16;3;
08136079 Waldstetten;5608;3354;2254;0;4150;2173;36;4114;1341;1211;390;371;471;84;30;;58;;;;;35;;;23;;;36;;64
08136082 Westhausen;4763;3168;1595;0;3247;1516;11;3236;755;1018;337;303;281;110;12;;49;276;;;;32;;;30;;;22;11;
08136084 Wört;1131;816;315;0;653;294;4;649;133;261;62;27;47;10;4;;3;79;;;;11;;;6;;;3;3;
08136087 Riesbürg;1698;1165;533;0;1016;514;4;1012;201;374;116;121;83;17;4;;10;60;;;;6;;;7;;;9;4;
08136088 Aalen, Stadt;48367;31953;16414;0;29850;15435;211;29639;9180;7485;2744;3413;2909;1070;131;;401;1423;;;;337;;;223;;;163;160;
08136089 Rainau;2549;1910;639;0;1722;602;11;1711;286;608;192;103;114;42;3;;12;317;;;;11;;;5;;;13;5;
08211000 Baden-Baden, Stadt;37852;25058;12794;0;23192;11965;139;23053;8174;5879;1975;2182;2354;682;133;;;936;;;;360;;;224;;;;154;
08212000 Karlsruhe, Stadt;205270;117537;87733;;126112;83221;562;125550;48845;22496;8858;14940;9757;8572;640;;2672;1852;;216;;1332;;;2162;671;;324;2213;
08215007 Bretten, Stadt;19251;12388;6863;0;12444;6482;115;12329;4170;2695;1453;1174;1432;324;;;209;337;;;;226;;;171;;;138;;
08215009 Bruchsal, Stadt;30873;19984;10889;0;19180;10236;138;19042;5237;5352;1995;2520;1831;557;;;361;507;;;;204;;;163;;;180;135;
08215017 Ettlingen, Stadt;28588;17748;10840;0;18978;10204;125;18853;6493;4671;1666;2110;1947;561;87;;268;540;;;;188;;;214;;;108;;
08215021 Forst;5798;2985;2813;0;3943;2672;28;3915;1039;1092;480;492;401;73;;;68;136;;;;42;;;25;;;45;22;
08215025 Gondelsheim;2725;1678;1047;0;1804;989;18;1786;497;380;256;258;186;51;;;23;71;;;;32;;;17;;;15;;
08215029 Hambrücken;4248;1929;2319;0;3008;2237;41;2967;667;1033;393;275;252;53;;;62;129;;;;18;;;25;;;48;12;
08215039 Kronau;4463;2513;1950;0;3073;1860;52;3021;634;766;519;308;276;76;;;55;274;;;;24;;;25;;;56;8;
08215040 Kürnbach;1699;1077;622;0;1173;587;5;1168;420;217;147;112;127;40;;;17;37;;;;18;;;13;;;20;;
08215046 Malsch;10779;6468;4311;0;7309;4084;71;7238;2285;1672;836;786;725;194;25;;126;409;;;;72;;;67;;;41;;
08215047 Marxzell;4021;2317;1704;0;2744;1631;14;2730;908;823;226;195;273;68;8;;37;130;;;;13;;;20;;;29;;
08215059 Oberderdingen;7293;4695;2598;0;4645;2480;59;4586;1385;1037;676;388;550;110;;;68;145;;;;66;;;60;;;101;;
08215064 Östringen, Stadt;9426;5473;3953;0;6074;3750;83;5991;1506;1643;896;676;562;155;;;105;180;;;;53;;;55;;;133;27;
08215066 Philippsburg, Stadt;8532;6024;2508;0;4772;2355;63;4709;1065;1159;839;543;480;149;;;102;190;;;;79;;;55;;;29;19;
08215082 Sulzfeld;3493;2164;1329;0;2243;1281;28;2215;685;448;293;280;233;65;;;43;95;;;;17;;;25;;;31;;
08215084 Ubstadt-Weiher;9966;5525;4441;0;6842;4229;56;6786;1923;1934;791;716;656;152;;;130;234;;;;81;;;65;;;85;19;
08215089 Walzbachtal;7199;4151;3048;0;4991;2920;38;4953;1688;1148;434;592;596;127;;;68;95;;;;58;;;83;;;64;;
08215090 Weingarten (Baden);7436;4751;2685;0;5129;2544;38;5091;1900;1008;379;579;672;160;;;81;130;;;;54;;;86;;;42;;
08215094 Zaisenhausen;1317;735;582;0;890;544;6;884;257;203;137;65;133;15;;;17;22;;;;12;;;10;;;13;;
08215096 Karlsbad;11911;7599;4312;0;8406;4050;54;8352;2766;1836;815;1091;828;208;52;;138;340;;;;120;;;64;;;94;;
08215097 Kraichtal, Stadt;10832;6537;4295;0;7556;4026;107;7449;2293;1893;760;871;823;195;;;131;279;;;;69;;;63;;;72;;
08215099 Graben-Neudorf;8960;5900;3060;0;5592;2889;76;5516;1552;1361;666;633;699;137;;;119;151;;;;54;;;84;;;60;;
08215100 Bad Schönborn;8921;5004;3917;0;5955;3733;60;5895;1841;1375;817;664;595;170;;;78;159;;;;54;;;66;;;67;9;
08215101 Pfinztal;13213;8022;5191;0;8822;4879;64;8758;2736;2130;809;1312;849;280;44;;144;194;;;;108;;;82;;;70;;
08215102 Eggenstein-Leopoldshafen;12299;7637;4662;0;7996;4404;67;7929;2604;1707;878;906;921;231;;;119;335;;;;80;;;95;;;53;;
08215103 Karlsdorf-Neuthard;7677;4395;3282;0;5114;3145;45;5069;1202;1587;621;574;562;100;;;75;174;;;;43;;;66;;;43;22;
08215105 Linkenheim-Hochstetten;8945;6015;2930;0;5745;2796;52;5693;1769;1348;672;593;616;175;;;96;269;;;;63;;;57;;;35;;
08215106 Waghäusel, Stadt;15698;9589;6109;0;9550;5805;121;9429;2475;2239;1358;1133;899;280;;;228;387;;;;160;;;105;;;117;48;
08215107 Oberhausen-Rheinhausen;7295;4571;2724;0;4505;2588;72;4433;1146;1156;670;491;406;102;;;107;161;;;;48;;;89;;;40;17;
08215108 Rheinstetten, Stadt;15756;10621;5135;0;10247;4877;110;10137;3358;2391;1077;1259;1097;272;48;;180;224;;;;87;;;91;;;53;;
08215109 Stutensee, Stadt;17570;10539;7031;0;11511;6647;81;11430;3841;2795;1121;1182;1081;403;;;235;432;;;;93;;;153;;;94;;
08215110 Waldbronn;9775;5499;4276;0;7088;4138;55;7033;2602;1774;550;704;738;176;33;;108;188;;;;55;;;66;;;39;;
08215111 Dettenheim;5178;3079;2099;0;3481;1990;30;3451;809;886;496;433;399;75;;;75;172;;;;27;;;54;;;25;;
08216002 Au am Rhein;2723;1879;844;0;1823;800;13;1810;546;440;170;234;169;44;;;35;105;;;;16;;;30;;;11;10;
08216005 Bietigheim;4825;3333;1492;0;2965;1423;29;2936;862;680;416;389;257;78;;;45;108;;;;28;;;33;;;26;14;
