GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber;Nichtwähler
green;black;lightskyblue;red;yellow;violet;turquoise;darkorange;maroon;cyan;-;-;-;-;-;-;lime;-;-;-;-;-;grey
